#"+ESI Scan:2 (rt: 1.955-2.126 min, 11 scans) Frag=150.0V CID@30.0 AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,57.0695,410.511688232422
1,58.0650,513.658203125
2,67.0554,440.163177490234
3,70.0653,2443.49145507813
4,83.0850,405.739318847656
5,95.0847,1173.50268554688
6,97.1026,395.578247070313
7,109.0988,546.938110351563
8,142.0853,400.820129394531
9,161.0796,841.692810058594
10,175.0750,1494.41772460938
11,181.0645,1247.45617675781
12,187.0747,4584.40283203125
13,188.0810,611.253601074219
14,189.0866,569.694274902344
15,197.0602,717.635498046875
16,199.0748,1041.13708496094
17,201.0885,441.909210205078
18,202.0853,905.944274902344
19,203.0896,420.314270019531
20,213.0941,2276.20068359375
21,214.0951,453.646026611328
22,215.1031,555.177673339844
23,224.1055,1637.73254394531
24,225.0972,1006.57427978516
25,226.0955,462.453582763672
26,227.1053,668.8349609375
27,228.1205,871.412292480469
28,229.0911,645.924987792969
29,239.1035,782.033508300781
30,240.1020,523.420471191406
31,241.1080,14757.6845703125
32,242.1124,2801.03686523438
33,243.1178,603.655029296875
34,250.1385,441.402801513672
35,252.1018,853.080139160156
36,254.1149,478.862335205078
37,255.1106,969.581909179688
38,256.1326,14296.681640625
39,257.1339,3217.455078125
40,266.1161,651.202514648438
41,267.1121,550.214904785156
42,269.1063,514.004333496094
43,270.1322,1018.24890136719
44,280.1329,1042.23168945313
45,283.1186,757.718933105469
46,286.1434,675.983764648438
47,298.1433,37243.81640625
48,299.1461,8027.91650390625
49,300.1488,1031.04846191406
50,310.2729,421.004791259766
51,314.1374,2230.21801757813
52,315.1417,676.35595703125
53,316.1538,16360.9287109375
54,317.1571,3252.86499023438
55,318.1597,439.313690185547
56,332.1496,670.179565429688
57,376.0357,445.332336425781
58,420.0252,980.498107910156
