#"+ESI Scan:2 (rt: 2.383-2.571 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_Nitrogen_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,58.0668,1664.52844238281
1,70.0668,5170.88525390625
2,94.0669,858.088134765625
3,95.0869,1475.21032714844
4,108.0812,826.210693359375
5,161.0817,1484.43737792969
6,175.0771,3010.47436523438
7,181.0665,1921.64038085938
8,187.0767,8359.0556640625
9,188.0810,1188.72937011719
10,189.0915,1070.69250488281
11,197.0617,1238.17980957031
12,199.0769,1890.64953613281
13,202.0883,1720.57800292969
14,213.0950,4013.34497070313
15,224.1082,2826.01416015625
16,225.1007,1687.16979980469
17,227.1075,1251.72619628906
18,228.1220,1242.58154296875
19,229.0933,1150.97216796875
20,239.1059,1168.31298828125
21,240.1045,914.408508300781
22,241.1106,25446.515625
23,242.1143,5120.9677734375
24,243.1220,1049.17407226563
25,252.1034,1358.60754394531
26,255.1137,1386.99926757813
27,256.1350,25473.341796875
28,257.1359,5307.65673828125
29,266.1184,1091.35498046875
30,270.1365,1999.38562011719
31,280.1345,1734.17211914063
32,283.1218,1441.51708984375
33,286.1455,811.156616210938
34,298.1463,79593.7578125
35,299.1490,15432.4453125
36,300.1512,2009.71447753906
37,314.1406,4397.5244140625
38,315.1459,1094.58972167969
39,316.1567,53477.80078125
40,317.1597,10232.45703125
41,318.1622,1391.16284179688
42,332.1510,1195.35131835938
43,373.0838,813.698974609375
44,420.0290,1159.64526367188
