#"+ESI Scan:2 (rt: 3.854-4.025 min, 11 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,55.0572,418.076416015625
1,58.0661,308.060760498047
2,70.0653,1561.04187011719
3,95.0852,471.769439697266
4,108.0799,315.451995849609
5,161.0824,466.106536865234
6,175.0743,1085.24194335938
7,181.0633,676.912475585938
8,187.0747,2849.525390625
9,188.0760,430.631713867188
10,189.0896,482.655303955078
11,197.0593,426.113342285156
12,199.0747,713.900268554688
13,202.0856,621.430541992188
14,213.0913,1553.51428222656
15,224.1060,1069.83935546875
16,225.0971,573.069580078125
17,227.1035,461.910522460938
18,228.1169,351.387451171875
19,229.0905,437.344268798828
20,239.1034,360.001556396484
21,240.1036,333.402435302734
22,241.1079,9042.8017578125
23,242.1115,1837.38256835938
24,243.1183,354.836273193359
25,252.1008,419.159118652344
26,255.1088,463.280456542969
27,256.1323,9022.005859375
28,257.1337,1830.31518554688
29,266.1154,430.705444335938
30,270.1279,572.713439941406
31,280.1311,581.909484863281
32,283.1191,498.201141357422
33,298.1434,30057.8515625
34,299.1465,6064.173828125
35,300.1477,795.430419921875
36,314.1388,1361.37890625
37,315.1427,338.90966796875
38,316.1540,22983.767578125
39,317.1574,4815.5927734375
40,318.1607,608.88623046875
41,332.1487,413.879730224609
