#"+ESI Scan:2 (rt: 2.485-2.656 min, 11 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,58.0643,278.557159423828
1,70.0654,1343.38647460938
2,95.0848,328.12744140625
3,161.0814,408.381652832031
4,175.0743,991.693481445313
5,181.0634,629.603393554688
6,187.0746,2584.78149414063
7,188.0772,327.467376708984
8,189.0897,384.204772949219
9,197.0598,344.086822509766
10,199.0751,559.138793945313
11,202.0856,489.925811767578
12,213.0924,1104.95336914063
13,214.0961,271.699005126953
14,224.1060,821.068725585938
15,225.0951,460.304748535156
16,227.1055,363.508850097656
17,228.1161,319.158355712891
18,229.0905,376.426055908203
19,239.1049,349.032562255859
20,240.1007,301.743133544922
21,241.1081,7461.0751953125
22,242.1120,1420.37548828125
23,243.1187,317.747680664063
24,252.1019,422.055023193359
25,254.1154,268.907958984375
26,255.1112,434.697418212891
27,256.1326,6793.8486328125
28,257.1348,1437.77392578125
29,266.1175,332.903137207031
30,267.1097,254.394226074219
31,270.1395,650.460754394531
32,280.1325,514.016296386719
33,283.1195,340.481658935547
34,298.1434,23925.57421875
35,299.1467,4866.3876953125
36,300.1487,609.172180175781
37,314.1383,915.080749511719
38,315.1451,275.093231201172
39,316.1541,17485.564453125
40,317.1568,3289.60986328125
41,318.1606,366.635833740234
42,332.1472,301.058837890625
