#"+ESI Scan:2 (rt: 3.016-3.222 min, 13 scans) Frag=150.0V CID@30.0 AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,70.0650,2672.31689453125
1,95.0861,657.708862304688
2,128.0704,476.818054199219
3,156.1007,416.493225097656
4,161.0789,815.379272460938
5,175.0743,1379.33752441406
6,181.0640,1372.97265625
7,187.0747,5095.8623046875
8,188.0763,589.494079589844
9,189.0875,636.867492675781
10,197.0584,673.157287597656
11,199.0752,1307.349609375
12,201.0875,444.640563964844
13,202.0864,985.049499511719
14,203.0890,508.731536865234
15,213.0928,2391.80810546875
16,214.0961,461.515686035156
17,215.1001,463.111846923828
18,224.1045,1678.35375976563
19,225.0967,1109.26843261719
20,226.0952,542.657897949219
21,227.1035,847.512329101563
22,228.1157,885.1884765625
23,229.0921,716.958679199219
24,239.1014,778.98095703125
25,240.1026,790.312255859375
26,241.1078,16407.36328125
27,242.1118,3297.44677734375
28,243.1172,557.566772460938
29,252.1011,779.916870117188
30,254.1156,622.653442382813
31,255.1103,1051.47888183594
32,256.1330,14528.0166015625
33,257.1336,3047.85498046875
34,258.1311,419.864135742188
35,266.1158,833.713073730469
36,267.1142,499.655059814453
37,269.1097,534.858154296875
38,270.1361,1394.51831054688
39,280.1315,1001.48077392578
40,283.1193,798.013488769531
41,286.1424,563.469177246094
42,296.1269,405.324615478516
43,298.1435,39888.8203125
44,299.1467,7619.85107421875
45,300.1473,1116.18603515625
46,310.2703,425.318939208984
47,314.1376,2408.49609375
48,315.1420,644.209411621094
49,316.1537,18457.919921875
50,317.1569,3784.33325195313
51,318.1572,470.074645996094
52,332.1478,707.879760742188
53,376.0359,425.806701660156
54,420.0253,901.536987304688
