#"+ESI Scan:2 (rt: 3.563-3.751 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,55.0574,256.649444580078
1,70.0655,1219.50732421875
2,108.0796,228.912948608398
3,161.0835,339.455932617188
4,175.0746,801.43115234375
5,181.0642,485.254730224609
6,187.0746,2122.96142578125
7,188.0782,306.702819824219
8,189.0895,299.843475341797
9,197.0585,313.975280761719
10,199.0739,616.859130859375
11,202.0856,479.458587646484
12,213.0919,1128.34838867188
13,224.1051,786.635009765625
14,225.0975,388.710571289063
15,227.1049,332.585784912109
16,228.1226,372.738983154297
17,229.0924,309.560943603516
18,239.1048,295.761779785156
19,240.1014,237.593307495117
20,241.1083,6803.30419921875
21,242.1115,1534.47045898438
22,243.1154,258.069793701172
23,252.0999,401.441619873047
24,254.1142,229.055541992188
25,255.1101,401.022125244141
26,256.1323,6800.1328125
27,257.1339,1287.12658691406
28,266.1159,379.083282470703
29,267.1123,226.472869873047
30,270.1337,440.486633300781
31,280.1315,516.302062988281
32,281.0518,263.724578857422
33,283.1196,367.367492675781
34,298.1434,22624.71484375
35,299.1471,4561.25146484375
36,300.1490,672.28759765625
37,314.1384,1029.13061523438
38,315.1414,354.918975830078
39,316.1537,17072.935546875
40,317.1565,3272.24536132813
41,318.1581,434.903167724609
42,332.1485,267.418823242188
