#"+ESI Scan:2 (rt: 1.562-1.750 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_Nitrogen_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,44.0518,440.696838378906
1,58.0667,766.021545410156
2,59.0520,597.174438476563
3,67.0557,732.947875976563
4,70.0670,3051.84912109375
5,71.0553,515.270812988281
6,81.0694,458.437072753906
7,95.0872,1422.484375
8,108.0826,475.027954101563
9,109.1017,600.762939453125
10,114.0563,410.497375488281
11,128.0717,618.138366699219
12,142.0886,550.005554199219
13,156.1030,477.220428466797
14,161.0823,769.650146484375
15,175.0767,1409.982421875
16,181.0670,1064.78271484375
17,187.0772,4684.37939453125
18,188.0807,612.870544433594
19,189.0921,603.412536621094
20,197.0626,688.6748046875
21,199.0769,1056.09887695313
22,202.0879,885.480163574219
23,213.0948,2041.57971191406
24,224.1086,1429.615234375
25,225.0995,887.790283203125
26,227.1071,771.148986816406
27,228.1166,665.417114257813
28,229.0958,589.06494140625
29,239.1075,617.5869140625
30,240.1046,558.810302734375
31,241.1105,13788.3857421875
32,242.1142,2728.34619140625
33,243.1203,527.350646972656
34,252.1032,702.599304199219
35,254.1184,442.392944335938
36,255.1137,782.888000488281
37,256.1351,12977.80859375
38,257.1362,2673.20043945313
39,266.1179,516.571838378906
40,267.1120,499.927093505859
41,269.1118,460.96142578125
42,270.1352,1054.30310058594
43,280.1347,873.022827148438
44,283.1211,671.291564941406
45,286.1444,576.958801269531
46,298.1461,40923.82421875
47,299.1492,7828.44921875
48,300.1506,1022.56640625
49,314.1413,2515.4404296875
50,315.1443,721.965637207031
51,316.1566,21390.828125
52,317.1600,4162.7705078125
53,318.1615,616.653076171875
54,332.1511,476.345001220703
55,373.0825,673.44140625
56,376.0418,464.007934570313
57,420.0289,979.976135253906
