#"+ESI Scan:3 (rt: 2.526-2.714 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,57.0705,14379.4482421875
1,58.0663,9806.9912109375
2,62.0242,19642.009765625
3,70.0655,29682.669921875
4,71.0854,8878.384765625
5,94.0648,8352.1259765625
6,131.0513,7695.19970703125
7,141.0689,7517.16064453125
8,153.0687,12647.658203125
9,161.0786,8355.728515625
10,169.0830,10206.80078125
11,170.0908,8050.35009765625
12,175.0745,26178.404296875
13,181.0794,23851.40625
14,182.0865,8593.853515625
15,187.0744,49491.765625
16,188.0777,7139.2265625
17,197.0776,16698.640625
18,198.0873,16503.126953125
19,199.0764,16754.5703125
20,202.0855,8500.9013671875
21,212.1055,46372.65625
22,213.0974,26460.4140625
23,221.1066,11126.0302734375
24,224.1051,18921.48828125
25,225.0928,12823.05859375
26,226.0863,25169.1328125
27,227.0989,10745.7041015625
28,229.0885,7228.49951171875
29,239.1004,8086.515625
30,240.1009,17615.498046875
31,241.1080,157048.5
32,242.1118,30156.2734375
33,252.1007,8429.181640625
34,255.1086,7989.17822265625
35,256.1326,148495.484375
36,257.1343,27353.654296875
37,270.1356,9593.4228515625
38,280.1317,10570.845703125
39,298.1433,713338.625
40,299.1467,147432.875
41,300.1488,17656.560546875
42,314.1374,10189.9169921875
43,314.3042,8359.7333984375
44,316.1543,253693.8125
45,317.1568,52799.078125
