#"+ESI Scan:3 (rt: 2.200-2.371 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,43.0552,11959.4287109375
1,44.0508,7686.6162109375
2,55.0547,10723.8193359375
3,57.0705,24753.37109375
4,58.0666,10940.751953125
5,62.0244,29378.88671875
6,67.0545,7315.48046875
7,69.0701,9424.826171875
8,70.0657,30161.904296875
9,71.0853,15099.0693359375
10,81.0696,9756.056640625
11,94.0651,8587.4921875
12,95.0847,9886.28125
13,115.0541,6991.4072265625
14,131.0533,7032.80615234375
15,132.0694,7241.537109375
16,141.0694,7680.77294921875
17,153.0688,12008.16796875
18,161.0788,8509.0361328125
19,169.0834,10324.09375
20,170.0916,7866.8935546875
21,175.0747,22552.775390625
22,181.0798,23399.322265625
23,182.0876,8547.1025390625
24,187.0746,45951.56640625
25,197.0779,16077.12890625
26,198.0870,14856.6552734375
27,199.0771,14840.4951171875
28,202.0857,8553.8134765625
29,210.0885,7064.7080078125
30,212.1053,37334.7421875
31,213.0972,26183.853515625
32,224.1049,18229.767578125
33,225.0941,12390.9658203125
34,226.0875,21799.330078125
35,227.0995,10307.373046875
36,229.0897,8095.458984375
37,239.1008,8145.0419921875
38,240.1012,15131.822265625
39,241.1080,145563.375
40,242.1118,29199.16796875
41,252.1014,7857.39404296875
42,255.1088,7977.91796875
43,256.1326,134661.671875
44,257.1343,26015.048828125
45,270.1357,10130.8037109375
46,280.1310,11102.58203125
47,298.1437,695883.6875
48,299.1467,144289.3125
49,300.1483,18995.05078125
50,314.1374,14724.9755859375
51,314.3039,12531.0869140625
52,316.1548,331802.375
53,317.1570,68917.9453125
54,318.1587,9631.775390625
55,376.0353,13775.0986328125
