#"+ESI Scan:3 (rt: 3.056-3.245 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,57.0705,15910.9599609375
1,58.0664,9865.4970703125
2,62.0242,22742.111328125
3,70.0655,27617.376953125
4,71.0855,9731.373046875
5,91.0540,7963.27978515625
6,94.0649,8635.8544921875
7,115.0535,7302.50732421875
8,131.0510,7968.99169921875
9,132.0672,7032.80859375
10,141.0690,7997.96435546875
11,152.0613,6926.5888671875
12,153.0687,13352.16796875
13,161.0768,7608.1083984375
14,169.0831,10232.6357421875
15,170.0905,8203.0830078125
16,175.0746,25330.935546875
17,181.0803,24900.822265625
18,182.0863,8824.208984375
19,187.0746,44307.4921875
20,188.0773,6939.25927734375
21,197.0781,17218.33984375
22,198.0872,16915.529296875
23,199.0767,15860.6884765625
24,202.0857,7954.8095703125
25,210.0870,7242.4619140625
26,211.0809,6526.66748046875
27,212.1053,47538.57421875
28,213.0981,25701.06640625
29,221.1053,8754.60546875
30,224.1050,18598.974609375
31,225.0921,12814.65234375
32,226.0862,25970.6015625
33,227.0989,10266.841796875
34,229.0887,6600.76953125
35,239.0993,7823.46728515625
36,240.1008,17063.31640625
37,241.1081,145270.546875
38,242.1116,27871.203125
39,252.1009,7453.28173828125
40,255.1088,7220.2021484375
41,256.1325,136224.734375
42,257.1343,25699.23828125
43,270.1352,8705.1845703125
44,280.1312,10405.4404296875
45,298.1434,644941.875
46,299.1466,131512.8125
47,300.1487,15890.1357421875
48,314.1377,10070.5517578125
49,314.3045,9542.9091796875
50,316.1544,223593.625
51,317.1568,46920.00390625
