#"+ESI Scan:3 (rt: 2.748-2.919 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,43.0552,10199.7119140625
1,55.0549,8808.97265625
2,57.0706,20301.318359375
3,58.0666,10412.8623046875
4,62.0245,22688.759765625
5,69.0703,7555.0419921875
6,70.0657,30737.220703125
7,71.0850,12297.39453125
8,81.0698,7956.68017578125
9,94.0648,8688.2587890625
10,95.0848,8491.2080078125
11,153.0691,11173.3544921875
12,161.0789,8194.013671875
13,169.0834,9582.771484375
14,175.0747,22910.201171875
15,181.0794,22844.689453125
16,182.0864,8162.00927734375
17,187.0748,50090.078125
18,197.0773,16367.26171875
19,198.0877,14937.298828125
20,199.0773,15053.6435546875
21,202.0856,8557.7109375
22,212.1054,37413.8515625
23,213.0974,26779.880859375
24,224.1051,18662.482421875
25,225.0949,12531.6044921875
26,226.0875,20370.025390625
27,227.0996,10584.4794921875
28,229.0903,8023.666015625
29,239.1005,9231.3857421875
30,240.1012,14491.171875
31,241.1083,151441.125
32,242.1118,30234.931640625
33,252.1011,8579.15625
34,255.1092,8485.322265625
35,256.1331,143066.296875
36,257.1345,28119.763671875
37,270.1369,10705.048828125
38,280.1312,11308.462890625
39,283.1186,7262.9150390625
40,298.1437,713347.875
41,299.1470,146830.5625
42,300.1486,19439.990234375
43,314.1373,14741.22265625
44,314.3039,9894.02734375
45,316.1547,299688
46,317.1569,62278.80078125
47,318.1578,8853.83203125
48,376.0354,10552.548828125
