#"+ESI Scan:3 (rt: 2.013-2.201 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_Helium_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,42.0360,9317.5478515625
1,43.0565,40286.6484375
2,44.0523,18337.099609375
3,55.0562,17479.23828125
4,57.0719,94292.046875
5,58.0688,20473.42578125
6,62.0257,118309.609375
7,67.0558,15441.25390625
8,69.0716,25608.27734375
9,70.0673,46489.56640625
10,71.0871,53355.84375
11,74.0251,23567.68359375
12,81.0713,23604.369140625
13,83.0868,19707.60546875
14,85.1024,24957.89453125
15,94.0667,12622.6748046875
16,95.0866,26834.173828125
17,97.1021,13399.525390625
18,104.0711,10307.146484375
19,109.1019,14528.16015625
20,131.0546,9764.46875
21,132.0738,9885.3251953125
22,141.0718,9948.34765625
23,153.0711,16422.6796875
24,161.0804,9884.8388671875
25,169.0860,13701.142578125
26,170.0949,10976.1181640625
27,175.0770,30492.892578125
28,181.0832,31001.951171875
29,182.0894,11402.6875
30,187.0769,55119.5859375
31,197.0810,21863.7890625
32,198.0902,21494.16796875
33,199.0797,18805.880859375
34,202.0881,9623.0556640625
35,210.0902,9550.8515625
36,211.0853,9127.3427734375
37,212.1080,58503.25
38,213.1013,32271.16015625
39,224.1075,22123.53125
40,225.0961,14682.4931640625
41,226.0894,31010.576171875
42,227.1013,12850.1748046875
43,239.1027,10342.5234375
44,240.1036,20925.52734375
45,241.1109,166139.703125
46,242.1146,33932.76953125
47,255.1117,8982.65625
48,256.1355,151650.734375
49,257.1370,30252.171875
50,270.1391,11424.8525390625
51,280.1334,12598.3916015625
52,298.1467,889576.9375
53,299.1499,182090.765625
54,300.1511,23641.609375
55,310.2758,16611.96875
56,314.1403,26104.259765625
57,314.3073,50607.30859375
58,315.3103,9998.7802734375
59,316.1572,594774.25
60,317.1602,122593.4140625
61,318.1615,16509.30078125
62,376.0386,36447.65234375
63,408.0281,10262.466796875
64,420.0283,14159.7236328125
