#"+ESI Scan:3 (rt: 3.347-3.518 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,57.0705,15222.7265625
1,58.0662,10470.0751953125
2,62.0243,20389.3359375
3,70.0656,31782.470703125
4,71.0856,8978.4013671875
5,91.0543,8464.8974609375
6,94.0649,9452.640625
7,115.0539,7909.9208984375
8,131.0504,8458.41796875
9,132.0679,7702.28857421875
10,141.0691,8697.80859375
11,153.0687,14234.244140625
12,161.0780,8884.447265625
13,169.0834,11359.484375
14,170.0909,9127.8095703125
15,175.0745,28337.30078125
16,181.0798,27140.580078125
17,182.0860,9843.740234375
18,187.0745,51932.140625
19,188.0773,7547.40185546875
20,197.0779,18601.779296875
21,198.0876,18685.919921875
22,199.0763,17770.099609375
23,202.0856,9088.390625
24,210.0866,7801.0205078125
25,212.1055,51118.9453125
26,213.0976,28138.833984375
27,221.1062,11087.8984375
28,224.1050,21290.599609375
29,225.0928,13244.91015625
30,226.0865,28373.658203125
31,227.0987,11654.6904296875
32,229.0889,7415.1435546875
33,239.1000,8417.0927734375
34,240.1009,18564.51171875
35,241.1081,162865.71875
36,242.1117,31898.29296875
37,252.1008,8655.47265625
38,255.1083,8118.05126953125
39,256.1327,153332.1875
40,257.1346,28538.796875
41,270.1352,10464.427734375
42,280.1316,11165.5537109375
43,298.1434,726846.6875
44,299.1467,148197.5625
45,300.1488,18061.712890625
46,314.1375,10330.9140625
47,314.3040,8336.904296875
48,316.1542,250071.890625
49,317.1569,50878.99609375
