#"+ESI Scan:3 (rt: 1.978-2.149 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,43.0553,6992.99658203125
1,57.0705,19008.8515625
2,58.0663,10303.3681640625
3,62.0242,25925.923828125
4,70.0655,27536.78125
5,71.0855,10924.3505859375
6,91.0541,7519.509765625
7,94.0650,8939.18359375
8,115.0538,6989.30908203125
9,131.0501,8308.2080078125
10,132.0674,7116.609375
11,141.0691,7673.92578125
12,152.0610,6756.986328125
13,153.0687,13592.5478515625
14,161.0778,7619.1669921875
15,169.0825,10118.7607421875
16,170.0911,8291.73828125
17,175.0745,25200.46484375
18,181.0796,24159.201171875
19,182.0864,8882.5791015625
20,187.0744,45180.61328125
21,188.0772,6866.37109375
22,197.0783,17404.07421875
23,198.0873,16918.48828125
24,199.0765,16171.751953125
25,202.0853,8467.6875
26,210.0876,7473.25634765625
27,211.0812,6866.76318359375
28,212.1052,46817.16796875
29,213.0979,25410.408203125
30,221.1061,9759.875
31,224.1050,18494.251953125
32,225.0921,13299.0087890625
33,226.0863,25798.51171875
34,227.0982,10778.501953125
35,239.1004,7996.87255859375
36,240.1008,17134.27734375
37,241.1079,148484.15625
38,242.1117,29096.240234375
39,252.1006,7524.5751953125
40,255.1089,7554.50927734375
41,256.1325,141208.953125
42,257.1344,25439.2578125
43,270.1350,9045.537109375
44,280.1310,10196.5009765625
45,298.1432,675456.4375
46,299.1466,139069.984375
47,300.1485,17076.865234375
48,314.1374,10165.04296875
49,314.3042,10491.232421875
50,316.1542,248484.140625
51,317.1568,52014.8125
52,318.1587,7107.1748046875
