#"+ESI Scan:3 (rt: 1.652-1.824 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,43.0550,11006.810546875
1,44.0510,7007.001953125
2,55.0546,8898.8740234375
3,57.0704,21224.62890625
4,58.0668,9439.5205078125
5,62.0242,25925.04296875
6,69.0701,7564.716796875
7,70.0656,27714.107421875
8,71.0852,12528.5498046875
9,81.0695,8061.4208984375
10,94.0650,8948.3828125
11,95.0845,7651.56298828125
12,115.0536,6658.63720703125
13,131.0533,6771.486328125
14,132.0705,7201.59228515625
15,141.0692,7943.1572265625
16,153.0689,11413.8623046875
17,161.0789,7879.8955078125
18,169.0828,9500.18359375
19,170.0916,7227.16357421875
20,175.0747,21854.26953125
21,181.0797,22240.474609375
22,182.0868,8113.20068359375
23,187.0746,43549.19140625
24,188.0779,6765.83740234375
25,197.0779,16297.51171875
26,198.0873,14959.7470703125
27,199.0771,14269.0615234375
28,202.0855,7989.33251953125
29,210.0881,6437.21728515625
30,211.0840,6755.09912109375
31,212.1053,36777.8984375
32,213.0974,24521.892578125
33,224.1048,17294.849609375
34,225.0937,12108.998046875
35,226.0872,20585.69140625
36,227.0997,9987.9560546875
37,229.0897,7304.39892578125
38,239.1005,8398.80078125
39,240.1012,14023.712890625
40,241.1079,137070.015625
41,242.1116,27346.458984375
42,252.1009,7598.919921875
43,255.1090,7770.36669921875
44,256.1325,127254.953125
45,257.1341,25058.626953125
46,270.1365,9797.0068359375
47,280.1306,10316.0908203125
48,298.1434,632969.4375
49,299.1465,131218.328125
50,300.1480,17033.435546875
51,314.1374,13573.0263671875
52,314.3040,10932.5576171875
53,316.1545,282670.59375
54,317.1566,59599.2890625
55,318.1583,8613.5888671875
56,376.0350,9750.0234375
