#"+ESI Scan:1 (rt: 3.574-3.745 min, 11 scans) Frag=150.0V AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,228.1951,1543.51208496094
1,314.1385,1102.94641113281
2,316.1542,76307.5703125
3,317.1569,14574.2900390625
4,318.1594,2146.89599609375
5,332.1517,1013.85369873047
6,333.1769,938.28466796875
