#"+ESI Scan:1 (rt: 3.028-3.216 min, 12 scans) Frag=150.0V AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,228.1952,4043.01000976563
1,314.1376,4141.82763671875
2,315.1439,1743.58361816406
3,316.1550,148518.765625
4,317.1572,30330.9765625
5,318.1598,4314.43505859375
6,331.1642,2660.04174804688
7,332.1530,2938.8408203125
