#"+ESI Scan:1 (rt: 3.404-3.575 min, 11 scans) Frag=150.0V AIF_oxycodone_0_30_60_Helium_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,228.1970,26458.625
1,314.1405,31404.236328125
2,315.1475,23773.5
3,316.1574,1583653.5
4,317.1609,330666.15625
5,318.1624,45144.5703125
6,333.1623,17774.75390625
