#"+ESI Scan:1 (rt: 3.062-3.250 min, 12 scans) Frag=150.0V AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,314.1377,21442.6171875
1,315.1441,15764.7646484375
2,316.1540,1300406.25
3,317.1579,258727.109375
4,318.1594,36639.0859375
