#"+ESI Scan:2 (rt: 3.068-3.256 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,187.0745,23026.533203125
1,241.1079,75178.46875
2,242.1116,14255.318359375
3,256.1324,72797.1015625
4,298.1437,302858.875
5,299.1464,62226.9765625
6,314.1378,26178.142578125
7,316.1540,1390485
8,317.1578,278651.0625
9,318.1596,38779.65234375
