#"+ESI Scan:3 (rt: 3.842-4.031 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,42.0356,504.019409179688
1,44.0506,272.991912841797
2,55.0181,312.609954833984
3,55.0538,231.994522094727
4,57.0711,267.057861328125
5,58.0661,395.987182617188
6,62.0234,290.230163574219
7,67.0548,360.825744628906
8,70.0650,473.667816162109
9,94.0653,589.073120117188
10,95.0832,203.450698852539
11,103.0537,305.962615966797
12,104.0621,193.436309814453
13,108.0792,234.149002075195
14,115.0534,782.33837890625
15,116.0595,223.730102539063
16,117.0668,239.656509399414
17,127.0532,289.871063232422
18,128.0613,716.270385742188
19,129.0688,604.125793457031
20,131.0503,883.980773925781
21,132.0644,883.645080566406
22,133.0737,211.693023681641
23,141.0691,961.811218261719
24,142.0743,270.153930664063
25,144.0583,583.731384277344
26,145.0645,282.436553955078
27,152.0621,844.129272460938
28,153.0688,1477.64306640625
29,154.0733,419.324005126953
30,155.0715,445.878814697266
31,156.0600,247.011428833008
32,157.0684,285.83056640625
33,158.0732,306.452728271484
34,159.0705,635.546875
35,160.0582,725.56640625
36,161.0719,313.457702636719
37,165.0694,653.521545410156
38,166.0720,298.761657714844
39,167.0806,422.735198974609
40,168.0765,759.734313964844
41,169.0849,1220.20056152344
42,170.0917,854.106323242188
43,171.0822,505.161010742188
44,172.0738,407.155242919922
45,174.0867,274.667266845703
46,175.0749,1734.04833984375
47,176.0765,237.109649658203
48,178.0773,287.645904541016
49,179.0827,299.253601074219
50,180.0805,348.1748046875
51,181.0837,2338.2490234375
52,182.0870,883.779846191406
53,183.0705,611.405090332031
54,184.0577,588.488342285156
55,184.1083,571.72509765625
56,185.0698,387.511627197266
57,187.0751,904.369750976563
58,188.0752,201.708129882813
59,189.0836,197.006500244141
60,194.0926,497.403167724609
61,195.0830,415.061767578125
62,196.0892,521.02978515625
63,197.0818,1714.49572753906
64,198.0890,1810.16577148438
65,199.0789,1064.71337890625
66,200.0795,324.537139892578
67,202.0857,283.739624023438
68,207.0781,204.990921020508
69,208.0839,224.82731628418
70,209.0781,309.779327392578
71,210.0871,712.745849609375
72,211.0786,760.838684082031
73,212.1057,4969.80615234375
74,213.1064,1640.52233886719
75,214.0957,316.500640869141
76,215.1017,253.857559204102
77,221.0860,316.691253662109
78,222.0910,339.106811523438
79,223.0893,247.682601928711
80,224.1039,749.145263671875
81,225.0855,847.739440917969
82,226.0860,2493.51635742188
83,227.0938,742.084655761719
84,228.1051,362.042602539063
85,238.0906,370.705108642578
86,239.0967,430.590545654297
87,240.1009,1528.20922851563
88,241.1082,3676.08642578125
89,242.1128,793.752258300781
90,254.1139,363.368896484375
91,255.1135,226.553466796875
92,256.1324,2129.24975585938
93,257.1347,365.423919677734
94,264.1013,217.978042602539
95,266.1139,275.39453125
96,270.1299,219.936950683594
97,298.1432,4582.14501953125
98,299.1463,1012.21234130859
99,316.1536,654.423767089844
