#"+ESI Scan:3 (rt: 3.586-3.740 min, 10 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,41.0383,293.117279052734
1,42.0361,435.173858642578
2,43.0541,339.166442871094
3,44.0498,428.467071533203
4,45.0359,385.506805419922
5,55.0180,361.627044677734
6,55.0553,517.947326660156
7,57.0708,612.367431640625
8,58.0655,341.476196289063
9,62.0245,302.547210693359
10,67.0545,503.860321044922
11,70.0653,650.510559082031
12,73.0488,584.385864257813
13,81.0698,440.259338378906
14,94.0649,687.683471679688
15,95.0834,328.364471435547
16,103.0525,342.220825195313
17,105.0698,238.979187011719
18,115.0535,747.858947753906
19,117.0678,253.797241210938
20,127.0536,301.710266113281
21,128.0617,851.180114746094
22,129.0696,626.69921875
23,131.0510,804.432678222656
24,132.0670,834.967529296875
25,141.0694,950.65771484375
26,142.0738,347.366668701172
27,144.0594,565.750122070313
28,147.0658,565.498107910156
29,152.0613,750.717468261719
30,153.0693,1454.18286132813
31,154.0744,440.757659912109
32,155.0742,607.603576660156
33,156.0621,277.350311279297
34,157.0700,283.911163330078
35,158.0756,314.117950439453
36,159.0735,601.646789550781
37,160.0584,699.387756347656
38,161.0650,379.121185302734
39,165.0691,716.348876953125
40,166.0744,305.649444580078
41,167.0807,511.106384277344
42,168.0779,769.1162109375
43,169.0847,1350.63745117188
44,170.0937,921.385131835938
45,171.0785,388.159759521484
46,172.0724,280.089233398438
47,173.0832,226.765197753906
48,175.0749,1575.30493164063
49,176.0757,282.690032958984
50,178.0764,274.295196533203
51,179.0834,338.036193847656
52,180.0813,350.132629394531
53,181.0837,2574.7470703125
54,182.0892,965.597229003906
55,183.0685,702.7900390625
56,184.0612,531.171936035156
57,184.1065,599.594360351563
58,185.0693,426.845458984375
59,187.0739,1003.16778564453
60,194.0946,511.701263427734
61,195.0831,486.362426757813
62,196.0863,503.704376220703
63,197.0819,1583.75732421875
64,198.0889,1910.17980957031
65,199.0787,1041.48767089844
66,200.0792,403.520965576172
67,202.0847,366.849761962891
68,207.0324,412.924591064453
69,207.0757,223.438461303711
70,208.0825,229.155227661133
71,209.0732,269.226684570313
72,210.0883,755.880126953125
73,211.0811,645.635864257813
74,212.1056,4960.32373046875
75,213.1064,1676.68444824219
76,214.0991,321.107635498047
77,215.0975,242.416839599609
78,221.0851,542.327392578125
79,222.0907,406.820068359375
80,223.0884,292.804412841797
81,224.1026,660.043151855469
82,225.0864,820.908264160156
83,226.0856,2553.04248046875
84,227.0933,670.56884765625
85,228.1019,411.253662109375
86,238.0863,248.249313354492
87,239.0955,440.647247314453
88,240.1016,1641.10815429688
89,241.1085,3610.61596679688
90,242.1124,771.419555664063
91,254.1132,323.890960693359
92,255.1122,225.173355102539
93,256.1327,1948.81469726563
94,257.1335,403.330871582031
95,266.1159,233.613922119141
96,281.0503,259.783081054688
97,298.1434,4050.59594726563
98,299.1457,881.501708984375
99,316.1536,570.094970703125
