#"+ESI Scan:3 (rt: 2.645-2.833 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_Nitrogen_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,42.0355,1463.892578125
1,44.0519,994.613037109375
2,55.0204,751.386474609375
3,57.0714,905.936950683594
4,58.0675,1102.15490722656
5,62.0260,1568.45861816406
6,67.0556,704.866516113281
7,70.0662,1386.63977050781
8,71.0842,596.041076660156
9,81.0702,615.17529296875
10,94.0662,1537.31018066406
11,95.0854,633.204467773438
12,103.0548,593.582885742188
13,104.0644,499.132598876953
14,108.0799,527.740234375
15,115.0552,2177.98168945313
16,116.0612,480.245086669922
17,127.0553,682.924743652344
18,128.0631,1972.32360839844
19,129.0703,1273.39318847656
20,131.0539,2243.052734375
21,132.0668,2041.01513671875
22,133.0716,613.189819335938
23,141.0712,2427.84252929688
24,142.0764,693.17626953125
25,143.0623,418.326202392578
26,144.0605,1458.75146484375
27,145.0688,660.302368164063
28,152.0631,2057.94506835938
29,153.0710,3704.1884765625
30,154.0757,1226.29736328125
31,155.0761,1261.18395996094
32,156.0741,563.925476074219
33,157.0708,674.469299316406
34,158.0741,736.857849121094
35,159.0715,1393.48205566406
36,160.0625,1578.97399902344
37,161.0675,795.027404785156
38,165.0716,1643.25305175781
39,166.0760,812.932922363281
40,167.0828,1224.76184082031
41,168.0793,1761.90197753906
42,169.0855,2891.19995117188
43,170.0940,2244.537109375
44,171.0825,1207.0009765625
45,172.0748,859.491088867188
46,173.0848,474.10986328125
47,174.0900,614.932067871094
48,175.0768,3791.77783203125
49,176.0793,563.969604492188
50,178.0813,652.916748046875
51,179.0853,637.033874511719
52,180.0825,816.840454101563
53,181.0867,6128.59521484375
54,182.0909,2605.70190429688
55,183.0734,1606.73132324219
56,184.0779,1719.16528320313
57,185.0740,1003.23883056641
58,187.0769,1537.47839355469
59,188.0781,469.180480957031
60,194.0967,1313.70422363281
61,195.0908,1038.81750488281
62,196.0873,1213.82263183594
63,197.0842,4173.87890625
64,198.0904,4702.25146484375
65,199.0818,2292.06713867188
66,200.0845,693.1572265625
67,202.0877,620.435180664063
68,208.0906,546.359741210938
69,209.0826,691.495666503906
70,210.0901,2038.85607910156
71,211.0842,1877.66345214844
72,212.1081,12920.97265625
73,213.1084,3818.60693359375
74,214.0993,828.2041015625
75,215.1009,477.770294189453
76,222.0921,799.991760253906
77,223.0936,661.972229003906
78,224.1047,1624.54760742188
79,225.0887,1967.76513671875
80,226.0886,6650.4130859375
81,227.0962,1796.89147949219
82,228.1062,811.168090820313
83,236.1039,412.603912353516
84,238.0978,829.071960449219
85,239.0989,1135.35571289063
86,240.1033,3285.07153320313
87,241.1104,6499.6142578125
88,242.1142,1326.95874023438
89,254.1139,898.769897460938
90,255.1108,429.438171386719
91,256.1349,3453.22338867188
92,257.1358,740.790222167969
93,266.1178,516.323486328125
94,298.1458,11276.0029296875
95,299.1489,2264.47631835938
96,314.1395,416.623413085938
97,316.1566,3429.6328125
98,317.1596,613.126525878906
99,376.0382,434.359222412109
