#"+ESI Scan:3 (rt: 3.570-3.741 min, 11 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,42.0355,1886.43273925781
1,43.0552,739.84912109375
2,44.0507,907.613952636719
3,55.0188,952.209045410156
4,55.0546,1265.64233398438
5,57.0705,1267.861328125
6,58.0662,999.564270019531
7,62.0243,1381.11901855469
8,67.0547,1242.86120605469
9,69.0706,625.14404296875
10,70.0658,1977.333984375
11,81.0707,1328.31872558594
12,91.0544,1183.30114746094
13,94.0649,2194.46704101563
14,95.0818,856.331420898438
15,103.0541,944.016723632813
16,108.0777,779.009460449219
17,115.0540,3109.37158203125
18,116.0598,840.636779785156
19,117.0652,690.794006347656
20,127.0541,977.569030761719
21,128.0613,2832.64282226563
22,129.0686,2215.14013671875
23,130.0708,676.239624023438
24,131.0543,3224.4658203125
25,132.0670,3138.4541015625
26,133.0709,837.696594238281
27,141.0697,3279.95385742188
28,142.0741,1055.92639160156
29,144.0604,2111.81811523438
30,145.0650,998.131591796875
31,152.0617,2756.2275390625
32,153.0690,5145.8896484375
33,154.0727,1737.21936035156
34,155.0728,1879.80285644531
35,156.0713,943.193603515625
36,157.0690,1039.48596191406
37,158.0766,1066.20874023438
38,159.0712,1880.31591796875
39,160.0598,2446.07495117188
40,161.0689,962.470642089844
41,165.0693,2305.29858398438
42,166.0727,1002.91033935547
43,167.0805,1915.60974121094
44,168.0766,2861.82641601563
45,169.0847,4867.603515625
46,170.0920,3744.47436523438
47,171.0814,1852.92517089844
48,172.0690,1237.07604980469
49,174.0879,819.319702148438
50,175.0751,4759.44140625
51,176.0762,736.186828613281
52,178.0774,1121.07531738281
53,179.0840,920.364624023438
54,180.0810,1526.80651855469
55,181.0849,8903.60546875
56,182.0890,3743.28002929688
57,183.0716,2604.27905273438
58,184.0768,2466.11206054688
59,185.0713,1468.42236328125
60,186.0778,654.166625976563
61,187.0755,2044.84973144531
62,194.0940,1939.42309570313
63,195.0897,1351.47583007813
64,196.0896,1714.34912109375
65,197.0823,5829.796875
66,198.0881,6779.57763671875
67,199.0804,3454.55346679688
68,200.0828,1108.34204101563
69,202.0857,834.640258789063
70,207.0778,662.498962402344
71,208.0845,869.210571289063
72,209.0814,1170.99633789063
73,210.0875,2653.4248046875
74,211.0829,2608.18823242188
75,212.1055,17413.59375
76,213.1065,5232.1494140625
77,214.0947,1160.14135742188
78,215.0984,662.665100097656
79,221.0868,810.511596679688
80,222.0898,1229.63134765625
81,223.0907,926.942565917969
82,224.1018,2271.8994140625
83,225.0851,2745.88720703125
84,226.0866,8795.30859375
85,227.0936,2297.98266601563
86,228.1036,1048.28002929688
87,238.0967,1098.78637695313
88,239.0948,1469.10412597656
89,240.1004,4703.97998046875
90,241.1083,8325.75390625
91,242.1130,1777.35119628906
92,254.1131,1275.87255859375
93,256.1326,4666.03076171875
94,257.1341,830.439575195313
95,264.1019,627.011840820313
96,266.1146,656.736511230469
97,298.1433,15748.8896484375
98,299.1462,3181.21337890625
99,316.1532,2959.3916015625
