#"+ESI Scan:3 (rt: 2.473-2.662 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,42.0350,328.911590576172
1,44.0508,210.341018676758
2,55.0177,187.583068847656
3,57.0714,345.044281005859
4,58.0667,253.511779785156
5,62.0241,282.905944824219
6,67.0546,378.433013916016
7,70.0653,458.121246337891
8,71.0852,175.204452514648
9,81.0685,170.771911621094
10,94.0657,506.648590087891
11,95.0835,281.526428222656
12,103.0538,273.756622314453
13,115.0534,464.367584228516
14,116.0607,174.447143554688
15,117.0653,183.273147583008
16,127.0549,240.516677856445
17,128.0615,661.249450683594
18,129.0689,490.141723632813
19,131.0492,737.470397949219
20,132.0650,670.173950195313
21,133.0591,147.972183227539
22,141.0690,711.718994140625
23,142.0739,230.060760498047
24,144.0574,492.551452636719
25,145.0645,234.10595703125
26,146.0361,174.256118774414
27,148.0695,163.776428222656
28,152.0618,669.187927246094
29,153.0689,1451.94677734375
30,154.0746,449.701171875
31,155.0739,380.294769287109
32,156.0627,217.466873168945
33,157.0666,277.833374023438
34,158.0752,176.380615234375
35,159.0665,466.117858886719
36,160.0585,566.528625488281
37,161.0695,287.046936035156
38,165.0699,439.609680175781
39,166.0752,223.748489379883
40,167.0788,379.424011230469
41,168.0752,590.778564453125
42,169.0825,925.066955566406
43,170.0908,668.609924316406
44,171.0786,369.795227050781
45,172.0688,282.428436279297
46,174.0845,207.929718017578
47,175.0746,1288.59753417969
48,176.0757,210.074859619141
49,178.0766,195.326507568359
50,179.0819,219.414749145508
51,180.0804,237.185791015625
52,181.0834,2012.49475097656
53,182.0868,797.513000488281
54,183.0694,543.490051269531
55,184.0635,536.132080078125
56,184.1062,557.710327148438
57,185.0617,380.383697509766
58,187.0746,745.382690429688
59,188.0741,196.822738647461
60,194.0910,324.851165771484
61,195.0868,341.697631835938
62,196.0781,478.66796875
63,196.1048,339.083557128906
64,197.0821,1486.19030761719
65,198.0878,1564.23901367188
66,199.0795,981.966857910156
67,200.0806,276.455169677734
68,202.0851,290.732147216797
69,208.0813,203.606994628906
70,209.0750,182.983047485352
71,210.0872,615.771240234375
72,211.0771,594.147216796875
73,212.1059,4134.0205078125
74,213.1048,1230.59423828125
75,214.0966,277.679138183594
76,215.0989,211.162078857422
77,222.0889,362.630615234375
78,223.0913,222.825592041016
79,224.1033,542.775756835938
80,225.0877,625.351684570313
81,226.0858,2027.65832519531
82,227.0936,655.255493164063
83,228.1079,297.961578369141
84,238.0977,249.129257202148
85,239.0940,341.324127197266
86,240.1012,1299.43530273438
87,241.1079,2815.10034179688
88,242.1128,536.544067382813
89,252.1011,173.560531616211
90,254.1131,373.776397705078
91,255.1008,178.96745300293
92,256.1324,1569.76123046875
93,257.1342,329.991058349609
94,264.0995,161.04133605957
95,266.1163,197.21240234375
96,283.1192,156.073043823242
97,298.1427,3121.46362304688
98,299.1455,616.117370605469
99,316.1541,488.875823974609
